situation,dialogue,context
Ordering a Custom Cake,"""A: I’d like to order a custom birthday cake.\nB: What design do you want?\nA: A unicorn theme.\nB: Great choice!""",Placing a special order at a bakery.
Asking About Public Wi-Fi Locations,"""A: Where can I access public Wi-Fi?\nB: In the library and main square.\nA: Thanks!\nB: You’re welcome.""",Finding free internet access spots.
Getting a Prescription Filled,"""A: Can I get this prescription filled?\nB: Yes, it will be ready in an hour.\nA: Perfect.\nB: Thank you.""",Filling medication at a pharmacy.
Asking for Laundry Services,"""A: Do you offer laundry services?\nB: Yes, with next day delivery.\nA: Great, I’ll use it.\nB: We’ll pick up your clothes.""",Inquiring about hotel or local laundry options.
Asking About Public Library Hours,"""A: When does the library close?\nB: At 8 PM on weekdays.\nA: Thanks for letting me know.\nB: No problem.""",Finding library opening hours.
Inquiring About Childcare Availability,"""A: Do you provide childcare?\nB: Yes, during business hours.\nA: I’ll bring my child tomorrow.\nB: We look forward to it.""",Checking for childcare options at a facility.
Finding a Pharmacy Nearby,"""A: Is there a pharmacy nearby?\nB: Yes, two blocks down.\nA: Thanks!\nB: You’re welcome.""",Asking for healthcare supplies locally.
Asking About School Holidays,"""A: When is the next school holiday?\nB: It’s in two weeks.\nA: Good, thanks.\nB: Enjoy the break!""",Clarifying academic calendar dates.
Asking for Help with Luggage Storage,"""A: Can I store my luggage here?\nB: Yes, it costs $5 per day.\nA: Perfect, thank you.\nB: You’re welcome.""",Finding luggage storage services.
Asking About Phone Network Coverage,"""A: Is the signal good here?\nB: Yes, all networks have coverage.\nA: That’s good to know.\nB: Stay connected!""",Checking mobile network availability.
Talking About Cultural Festivals,"""A: Are there any festivals this weekend?\nB: Yes, theDiwalifestival is happening.\nA: I’d love to go.\nB: It’s fantastic.""",Discussing upcoming cultural events.
Asking for a Discount on a Service,"""A: Can you offer a discount for first-time customers?\nB: Yes, 15% off.\nA: That’s great.\nB: Welcome!""",Negotiating pricing for new clients.
Checking Out at a Supermarket,"""A: Do you accept credit cards?\nB: Yes, all major cards.\nA: Perfect, thanks.\nB: Thank you for shopping with us.""",Paying for groceries.
Asking About Emergency Contact Numbers,"""A: What number do I call in case of emergency?\nB: Dial 911.\nA: Thank you.\nB: Stay safe.""",Getting emergency phone number info.
Asking For Directions to a Library,"""A: How do I get to the town library?\nB: It’s two blocks straight ahead.\nA: Thanks a lot!\nB: You’re welcome.""",Asking for directions to a local library.
Scheduling a Dentist Appointment,"""A: I want to book a dental cleaning.\nB: We have openings next Tuesday.\nA: Book me in.\nB: Appointment confirmed.""",Booking dental care appointments.
Asking About Bus Ticket Prices,"""A: How much is a ticket to the airport?\nB: $3.50.\nA: I’ll take one.\nB: Here’s your ticket.""",Purchasing bus travel fare.
Asking About Tour Language Options,"""A: Is the tour available in English?\nB: Yes, every day at 11 AM.\nA: Great, I’ll join.\nB: See you then.""",Checking language availability for guided tours.
Asking for a Software Download Help,"""A: How do I download this app?\nB: I’ll guide you through it.\nA: Thanks!\nB: No problem.""",Getting help installing applications.
Asking for a Repair Cost Estimate,"""A: How much to repair a cracked phone screen?\nB: Approximately $100.\nA: Thanks.\nB: Let us know if you want it fixed.""",Requesting a repair price quote.
Asking for Travel Insurance Details,"""A: What does travel insurance cover?\nB: Medical emergencies and cancellations.\nA: Good to know!\nB: Stay safe.""",Inquiring about insurance before traveling.
Asking for Extra Leg Room on a Flight,"""A: Is it possible to get extra legroom?\nB: Yes, for an additional fee.\nA: Please book that for me.\nB: Done.""",Requesting a more spacious seat on an airplane.
Asking for Help Moving Furniture,"""A: Can you help me move this couch?\nB: Sure, when do you need help?\nA: This afternoon.\nB: I’ll be there.""",Requesting physical help moving heavy furniture.
Asking About Availability of Tour Guides,"""A: Are tour guides available in Spanish?\nB: Yes, every morning.\nA: I’ll book one.\nB: Great!""",Booking a multilingual tour guide for sightseeing.
Complaining About Wrong Food Order,"""A: I asked for a vegetarian dish but got chicken.\nB: I’m sorry, let me fix that.\nA: Thank you.\nB: My apologies.""",Reporting a mistake with a meal at a restaurant.
Asking for Refund on Cancelled Hotel,"""A: My hotel booking was cancelled. Can I get a refund?\nB: Yes, it will be processed within 7 days.\nA: Thanks.\nB: You’re welcome.""",Requesting money back after hotel cancellation.
Asking for Phone Unlock Assistance,"""A: Can you help unlock my phone?\nB: Yes, please bring proof of purchase.\nA: Here it is.\nB: I’ll unlock it for you.""",Receiving technical support for device unlocking.
Asking About Event Parking,"""A: Is parking available for the concert?\nB: Yes, there’s a lot nearby.\nA: How much is it?\nB: $10.\nA: Thanks.""",Checking parking options for an event.
Asking for Advice on Buying a Laptop,"""A: Which laptop do you recommend for graphic design?\nB: The latestDell XPSmodel.\nA: Sounds good.\nB: It’s excellent for your needs.""",Getting product advice for work-related purchases.
Reporting a Broken Elevator,"""A: The elevator is not working.\nB: We’re sending a technician now.\nA: Thank you.\nB: Sorry for the inconvenience.""",Informing building management of facility issues.
Asking About Transportation Discounts,"""A: Are there any discounts for students on public transportation?\nB: Yes, a 50% discount with a valid ID.\nA: Great!\nB: Glad to help.""",Checking eligibility for travel discounts.
Inquiring About Lost Child,"""A: Have you seen a lost child?\nB: Yes, the staff is helping now.\nA: Thank you so much.\nB: We’ll keep looking.""",Reporting a missing child in a public place.
Asking for Directions to a Hospital,"""A: How do I get to the nearest hospital?\nB: Go straight two blocks, then turn right.\nA: Thanks!\nB: Stay safe.""",Requesting urgent medical directions.
Asking for Assistance With a Broken Bike,"""A: My bike chain broke. Could you help?\nB: Yes, I have tools here.\nA: Thanks!\nB: No problem.""",Getting mechanical help for a bicycle.
Asking About Lost Passport Replacement,"""A: How can I replace a lost passport?\nB: Visit the embassy and submit a report.\nA: Thanks for the info.\nB: You’re welcome.""",Getting instructions for travel document replacement.
Talking About Personal Fitness Goals,"""A: I want to improve my stamina.\nB: Try running and interval training.\nA: Thanks for the tips.\nB: You’re welcome!""",Discussing fitness plans with a coach or friend.
Asking for Help With Software Installation,"""A: Can you help install this software?\nB: Sure, let’s do it now.\nA: Thanks!\nB: My pleasure.""",Getting assistance to install a program on a computer.
Asking For Special Seat Requests on a Plane,"""A: Can I have a window seat?\nB: I’ll assign one for you.\nA: Thanks.\nB: Safe travels.""",Requesting preferred seating on a flight.
Asking About Museum Admission Fees,"""A: How much is the entry fee?\nB: $12 for adults.\nA: Any discounts?\nB: Yes, for students and seniors.""",Inquiring about ticket prices at a museum.
Asking About Vacation Package Details,"""A: What’s included in the vacation package?\nB: Flights, hotel, and tours.\nA: Perfect.\nB: Would you like to book?""",Clarifying holiday package content.
Asking For Extra Blanket in Hotel,"""A: Could I get an extra blanket?\nB: Sure, I’ll send one to your room.\nA: Thank you.\nB: You’re welcome.""",Requesting hotel room amenities.
Asking About Business Visa Application,"""A: How do I apply for a business visa?\nB: You need to submit these documents.\nA: Thanks.\nB: Let us know if you need help.""",Getting guidance on visa procurement.
Asking About Lost Phone Tracking,"""A: Can you help me track my lost phone?\nB: Yes, please provide the number.\nA: Here it is.\nB: We’ll try to locate it.""",Requesting help to find a missing mobile device.
Asking for Packing Tips for Travel,"""A: Any tips for packing light?\nB: Roll clothes and limit shoes.\nA: Great advice, thanks!\nB: Happy to help.""",Requesting travel preparation advice.
Asking for Availability of Translation Services,"""A: Is there a translator available?\nB: Yes, at the front desk.\nA: Thank you.\nB: You’re welcome.""",Requesting language assistance.
Asking About Library Book Renewals,"""A: Can I renew my book online?\nB: Yes, through our website.\nA: Perfect.\nB: Enjoy reading.""",Managing library loans.
Asking For Help With Online Banking,"""A: How do I reset my online banking password?\nB: Click 'Forgot Password' on the login page.\nA: Thanks!\nB: You’re welcome.""",Getting assistance with digital account access.
Asking for Directions to Tourist Center,"""A: How do I get to the tourist information center?\nB: It’s next to the city hall.\nA: Got it, thanks!\nB: Enjoy your visit.""",Finding tourist info location.
Asking for Help With a Rental Car Accident,"""A: I had an accident with the rental car.\nB: Please complete this form.\nA: Will do, thanks.\nB: We’ll assist you.""",Reporting an incident involving a rented vehicle.
Asking About Lost Luggage Policy,"""A: What is the policy for lost luggage?\nB: We compensate after 21 days.\nA: I understand.\nB: We’re here to help.""",Understanding airline baggage loss policies.
Asking for Quiet Room in a Hotel,"""A: Can I have a room away from the street?\nB: Yes, we have quiet rooms available.\nA: Thank you.\nB: Enjoy your stay.""",Requesting a less noisy accommodation.
Confirming Flight Check-In Time,"""A: When does check-in start?\nB: Two hours before departure.\nA: Thanks!\nB: Have a good flight.""",Confirming airport check-in timing.
Asking For Packing List Recommendations,"""A: What should I pack for a tropical trip?\nB: Light clothes, sunscreen, and a hat.\nA: Great, thanks!\nB: Have fun!""",Getting packing advice for climate-specific travel.
Asking About Local Cuisine,"""A: What local dishes do you recommend?\nB: Trypaellaandtapas.\nA: Sounds delicious!\nB: Enjoy!""",Exploring regional food specialties.
Booking a Taxi in Advance,"""A: Can I book a taxi for tomorrow morning?\nB: Yes, what time?\nA: 7 AM.\nB: Your taxi is booked.""",Scheduling transportation in advance.
Asking About Ticket Cancellation Refund,"""A: Can I get a refund for a cancelled ticket?\nB: Yes, within 24 hours of purchase.\nA: Good to know.\nB: You’re welcome.""",Inquiring about refund rules for tickets.
Asking About Child Safety Seats in Taxi,"""A: Do you have a child safety seat?\nB: Yes, we do.\nA: Perfect, I need one.\nB: It’s ready for you.""",Requesting special equipment for child safety in vehicles.
Inquiring About Lost and Found for Wallet,"""A: Has anyone found a wallet?\nB: There’s one at lost and found.\nA: I’ll check it out.\nB: Good luck!""",Searching for a lost item at a public place.
Asking For Phone Repair Warranty,"""A: Does this repair come with a warranty?\nB: Yes, 6 months.\nA: That’s reassuring.\nB: We guarantee our work.""",Clarifying warranty terms for electronic repairs.
Asking About Delivery Time Estimations,"""A: When will my package arrive?\nB: It should arrive in 3 to 5 days.\nA: Thanks.\nB: You’re welcome.""",Checking expected shipping arrival times.
Asking For Help Finding a Taxi,"""A: Can you call a taxi for me?\nB: Sure, it’ll be here in 10 minutes.\nA: Great, thanks.\nB: My pleasure.""",Requesting transportation assistance.
Asking for Recommendations on Museums,"""A: Which museums are worth visiting?\nB: The art museum and history museum.\nA: Thanks for the tips.\nB: Enjoy!""",Getting advice on cultural sightseeing spots.
Asking About Event Entry Requirements,"""A: Do I need an ID to enter?\nB: Yes, please bring a valid ID.\nA: Thanks for letting me know.\nB: You’re welcome.""",Preparing to attend an event or venue.
Clarifying Medication Dosage,"""A: How many times a day should I take this?\nB: Twice daily after meals.\nA: Got it, thanks.\nB: Take care.""",Ensuring correct medicine intake.
Asking for Help With Appointments,"""A: Can you help schedule a dentist appointment?\nB: Sure, when are you available?\nA: Next Friday.\nB: Booked.""",Scheduling medical appointments.
Asking About Lost Pet Posters,"""A: Where can I put up a lost pet poster?\nB: On community boards at grocery stores.\nA: Thank you.\nB: Good luck.""",Seeking help to find a lost animal.
